BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
1,"","selbach_bibliothek_2007","Selbach, Michaela & der Fachhochsch.], {[Bibliothek}","Bibliothek 2.0 : neue Perspektiven und Einsatzmöglichkeiten für wissenschaftliche Bibliotheken","",,,"","",2007,"{[Köln]}","","","","","","","","{[Bibliothek} der Fachhochsch.]","","","","","","","","","imported","",""
7,"","schulz2010service","Schulz, Manuela","Service vor Ort? Die Bibliothek geht zum Nutzer","GMS Medizin — Bibliothek — Information",10,3,"December","Doc 31",2010,"","","http://www.egms.de/static/de/journals/mbi/2010-10/mbi000215.shtml#block1","","","","","","","","","","","","","Zum Kern jeder Bibliotheksarbeit gehört die Ausrichtung ihrer Services auf die zumeist heterogenen Nutzergruppen. Dies schließt die Reflexion über die Dienste und eine ständige Weiterentwicklung mit ein. In einer medizinischen Hochschulbibliothek lassen sich als Zielgruppen mit spezifischen Bedürfnissen in der Regel Studierende, Ärzte, wissenschaftliche Mitarbeiter, Klinikumspersonal aus Pflege und Labor sowie Mitarbeiter der Verwaltung identifizieren. Studierende nutzen die Angebote der Bibliothek regelmäßig und überwiegend vor Ort, während wissenschaftliche Mitarbeiter und Ärzte vor allem auf die elektronischen Ressourcen von ihrem Arbeitsplatz aus zugreifen (möchten). Der Beitrag umfasst eine Problematisierung, Bedarfsanalyse und schließlich die Konzeption einer Dienstleistung, mit der alle potentiellen Nutzergruppen der Bibliothek der Medizinischen Fakultät Mannheim der Universität Heidelberg erreicht werden (können).","gms | GMS Medizin — Bibliothek — Information. | Service vor Ort – Die Bibliothek geht zum Nutzer","bibliothek, Kunden, Kommunikationsstrategie, Service, Kommunikation","",""
1,"","Hochschulbibliographie","Tröger, Beate","Wissenschaft online. Elektronisches Publizieren in Bibliothek und Hochschule","",,Sonderheft 80,"","",2000,"","Das Buch ist in der Bibliothek des Kurt-Schwitters-Forums der FH Hannover ausleihbar. Signatur: BID 7151/224:2","http://books.google.de/books?id=ZW01g-ywHxMC&dq=Wissenschaft+online+elektronisches+publizieren+in+Bibliothek+und+Hochschule&printsec=frontcover&source=bl&ots=F1rgo46sdM&sig=hJJtjFdsQANmsIV52-ad-cvQ5AM&hl=de&sa=X&oi=book_result&resnum=1&ct=result","Wissenschaft online. Elektronisches Publizieren in Bibliothek und Hochschule","","","Zeitschrift für Bibliothekswesen und Bibliographie : Sonderhefte ; 80","für Bibliothekswesen und Bibliographie, Sonderheft 80 Zeitschrift","Frankfurt a.M.: Klostermann (2000)","","","","","","","Wissenschaft online - unter diesem Schlagwort scheint sich zur Zeit ein Paradigmenwechsel innerhalb der Wissenschafts- struktur anzubahnen. Klassische Verbreitungswege eigener Erkenntnisse innerhalb der fachlichen Community werden ebenso in Frage gestellt wie klassische Multiplikationswege dieser Erkenntnisse für die wissenschaftliche Nachfolgegeneration; überlieferte Normen des Publizierens werden ebenso unter- laufen wie althergebrachte Formen der Lehre. Auch Informa-tionsdienstleister und Bibliotheken werden in diesen Paradigmenwechsel, dessen Implikationen sehr konsequenzen- reich sind für alle Beteiligten des Wissenschaftsbetriebes, hineingezogen. Die im vorliegenden Band zusammengeführten Überlegungen zu elektronischen Publikationen und elektro-nischem Publizieren in Hochschule und Bibliothek bemühen sich, Aspekte dieses drastischen Veränderungsprozesses zu beleuchten. Aus verschiedenen Blickrichtungen heraus betrachten sie Akteure und Artefakte virtueller Lehre und Forschung, multimedialer Publikation und bibliothekarischer Bearbeitung der Online-Wissenschaft.","Der vorliegenden Band enthält zahlreiche Überlegungen zu elektronischen Publikationen und elektronischem Publizieren in Hochschule und Bibliothek und beleuchtet die Aspekte des drastischen Veränderungsprozesses der momentan im Hochschulwesen hinsichtlich der elektronischen Publikation von hochschulinternen Veröffentlichungen stattfindet. Weiterführende Literatur zum Thema.","Hochschule, Bibliothek, fhhdb08, Hochschulbibliographie, Elektronisches_Publizieren, Hochschulbibliografie","",""
7,"","danowski2007","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 -- Wird alles anders?","Bibliothek Forschung und Praxis",31,2,"","130-136",2007,"","","http://www.bibliothek-saur.de/2007_2/130-136.pdf","","","","","","","","","","","","","Die neue Remix Culture des Webs sollte von den Bibliothekaren erkannt und zum Bestandteil der eigenen Strategie gemacht werden. Die Informationskultur beginnt sich durch die Entwicklung des Webs radikal zu verändern, insbesondere durch die Kommunikation mittels leicht zugänglicher Massenartikel wie den Weblogs, die allmählich auch im Wissenschaftsbereich ankommen. Mit den Kernprinzipien des Web 2.0 wird benannt, welche Veränderungen der letzten Jahre heute praktisch zu berücksichtigen sind. Elemente der neuen Informationskultur können bereits in der Welt der Computer- und Onlinespiele beobachtet werden; diese Elemente sind und waren jedoch auch den Bibliotheken nie fremd (erkennbar im Bild der „Libraries as conversations“). Insbesondere der Bibliothekskatalog kann eine neuartige Bedeutung (u.a. als Werkzeug einer „bibliographischen Remix Culture“) durch seine Verwandlung in einen offenen, vernetzten „Katalog 2.0“ gewinnen. Im Mittelpunkt der Bibliothek 2.0 steht jedoch der vernetzte „Bibliothekar 2.0“, dessen Schlüsselressourcen sowohl der Austausch innerhalb seiner bibliothekarischen Community of Practice als auch die Interaktion mit den Bibliotheksbenutzern sind.","","myown, bibliothek, library, library2.0, library20, bibliothek20, bibliothek2.0","",""
7,"","danowski2007","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 -- Wird alles anders?","Bibliothek Forschung und Praxis",31,2,"","130-136",2007,"","","http://www.bibliothek-saur.de/preprint/2007/ar_2463_danhel.pdf","","","","","","","","","","","","","Die neue Remix Culture des Webs sollte von den Bibliothekaren erkannt und zum Bestandteil der eigenen Strategie gemacht werden. Die Informationskultur beginnt sich durch die Entwicklung des Webs radikal zu verändern, insbesondere durch die Kommunikation mittels leicht zugänglicher Massenartikel wie den Weblogs, die allmählich auch im Wissenschaftsbereich ankommen. Mit den Kernprinzipien des Web 2.0 wird benannt, welche Veränderungen der letzten Jahre heute praktisch zu berücksichtigen sind. Elemente der neuen Informationskultur können bereits in der Welt der Computer- und Onlinespiele beobachtet werden; diese Elemente sind und waren jedoch auch den Bibliotheken nie fremd (erkennbar im Bild der „Libraries as conversations“). Insbesondere der Bibliothekskatalog kann eine neuartige Bedeutung (u.a. als Werkzeug einer „bibliographischen Remix Culture“) durch seine Verwandlung in einen offenen, vernetzten „Katalog 2.0“ gewinnen. Im Mittelpunkt der Bibliothek 2.0 steht jedoch der vernetzte „Bibliothekar 2.0“, dessen Schlüsselressourcen sowohl der Austausch innerhalb seiner bibliothekarischen Community of Practice als auch die Interaktion mit den Bibliotheksbenutzern sind.","","bibliothek, web2.0","",""
7,"","danowski2006bzb","Danowski, Patrick & Heller, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259-1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen an Bibliothekare diskutiert.","","bibliothek, web2.0","",""
7,"","danowski2006bzb","Danowski, Patrick & Heller, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259--1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen an Bibliothekare diskutiert.","","bibliothek, web2.0","",""
7,"","danowski2006bzb","Danowski, Patrick & Heller, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259--1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen an Bibliothekare diskutiert.","","myown, bibliothek, library, library2.0, lis, library20, bibliothek20, bibliothek2.0","",""
7,"","danowski2006bzb","Danowski, Patrick & Heller, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259-1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen an Bibliothekare diskutiert.","","bibliothek, 2.0, cvk","",""
7,"","danowski2006bzb","DANOWSKI, Patrick & HELLER, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259--1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","","BibSonomy::bibtex::{Bibliothek 2. 0: Die Zukunft der Bibliothek?}","bibliothek, library, web, connotea, 2.0","",""
7,"","danowski2006bzb","DANOWSKI, Patrick & HELLER, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259--1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","","BibSonomy::bibtex::{Bibliothek 2. 0: Die Zukunft der Bibliothek?}","web2.0, Bibliothek","",""
7,"","danowski_2007","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 -- Wird alles anders?","Bibliothek Forschung und Praxis",31,2,"","130-136",2007,"","","http://www.bibliothek-saur.de/2007_2/130-136.pdf","","","","","","","","","","","","","Die neue Remix Culture des Webs sollte von den Bibliothekaren erkannt und zum Bestandteil der eigenen Strategie gemacht werden. Die Informationskultur beginnt sich durch die Entwicklung des Webs radikal zu verändern, insbesondere durch die Kommunikation mittels leicht zugänglicher Massenartikel wie den Weblogs, die allmählich auch im Wissenschaftsbereich ankommen. Mit den Kernprinzipien des Web 2.0 wird benannt, welche Veränderungen der letzten Jahre heute praktisch zu berücksichtigen sind. Elemente der neuen Informationskultur können bereits in der Welt der Computer- und Onlinespiele beobachtet werden; diese Elemente sind und waren jedoch auch den Bibliotheken nie fremd (erkennbar im Bild der „Libraries as conversations“). Insbesondere der Bibliothekskatalog kann eine neuartige Bedeutung (u.a. als Werkzeug einer „bibliographischen Remix Culture“) durch seine Verwandlung in einen offenen, vernetzten „Katalog 2.0“ gewinnen. Im Mittelpunkt der Bibliothek 2.0 steht jedoch der vernetzte „Bibliothekar 2.0“, dessen Schlüsselressourcen sowohl der Austausch innerhalb seiner bibliothekarischen Community of Practice als auch die Interaktion mit den Bibliotheksbenutzern sind.","BibSonomy::bibtex::Bibliothek 2.0 -- Wird alles anders?","science, library, bibliothekswesen, web2.0, bibliothek2.0","",""
7,"","strauss2015bcher","Strauss, Simon","Und wo sind hier die Bücher? Bibliothek der Zukunft ","Frankfurter Allgemeine",vom 3.10.2015,,"October","",2015,"","","http://www.faz.net/aktuell/feuilleton/buecher/themen/die-zukunft-der-bibliothek-das-dokk1-in-aarhus-13834316.html?printPagedArticle=true#pageIndex_2","","","","","","","","","","","","","Die öffentliche Bibliothek erfährt gerade eine gewaltige Transformation von der altehrwürdigen Bildungsstätte zum multiplen Kultur- und Veranstaltungsort. Im dänischen Aarhus kann man die Zukunft schon besichtigen. ","Die Zukunft der Bibliothek? Das Dokk1 in Aarhus","Aarhus, Technisierung, Dänemark, Öffentliche_Bibliotheken, Bibliotheken, BibliothekarInnen","",""
10,"","Hobohm_2000_Bibliothek","Hobohm, Hans-Christoph","Bibliothek - Mythos, Metapher, Maschine oder: Der ort der Bibliothek in der Lebenswelt der Stadt","",,,"","",2000,"","Vortrag im Rahmen von: “CIVITAS – Geometrie und Lebenswelt eine Ringvorlesung zur Stadt“ an der
Fachhochschule Potsdam im Wintersemester 2000","http://forge.fh-potsdam.de/~hobohm/bibliothek-mythos-metapher-maschine.pdf","","","","","","","","","","","","","","","bibliothek, kulturwissenschaftlich","",""
1,"","Umlauf.2016","","Grundwissen Medien, Information, Bibliothek","",25,,"","",2016,"Stuttgart","","","","","","Bibliothek des Buchwesens","Umlauf, Konrad","Hiersemann","","","","","","","","","Bibliothek, Medien, Information","",""
7,"","glaser_bibliothek_2008","Gläser, Christine","Die Bibliothek als Lernort - neue Servicekonzepte","Bibliothek : Forschung und Praxis",32,2,"","171--182",2008,"","","http://www.bibliothek-saur.de/preprint/2008/ar2512_glaeser.pdf","","","","","","","","","","","","","Es werden Servicekonzepte vorgestellt, die den Lernort Bibliothek gestalten. Hierzu werden die Ausgangssituationen und Rahmenbedinungen an Hochschulen beleuchtet und angloamerikanische Konzepte wie Learning Resource Centre, Learning Centre und Information Commons, Learning Commons an Beispielen dokumentiert. In der Analyse der Konzepte entstehen übergreifende Konzeptelemente, die als Basis für die Entwicklung neuer Servicekonzepte genutzt werden können.","","Lernort, Bibliothek,","",""
1,"9783832197179 3832197176","murakami2013unheimliche","Murakami, Haruki & Menschik, Kat","Die unheimliche Bibliothek : Erzählung","",,,"","",2013,"Köln","","http://www.amazon.de/Die-unheimliche-Bibliothek-Haruki-Murakami/dp/3832197176/ref=sr_1_1?s=books&ie=UTF8&qid=1382687971&sr=1-1&keywords=die+unheimliche+bibliothek","","","","","","DuMont Buchverlag","","","","","","","","Die unheimliche Bibliothek: Amazon.de: Haruki Murakami, Kat Menschik, Ursula Gräfe: Bücher","Desiderat, Vampyrologie","",""
7,"","ernst_unwahrscheinlichkeit_2018","Ernst, Wolfgang","Die Unwahrscheinlichkeit von Wissenstradition und die Beharrlichkeit der Bibliothek","Bibliothek Forschung und Praxis",42,2,"","379--386",2018,"","","https://www.degruyter.com/view/j/bfup.2018.42.issue-2/bfp-2018-0038/bfp-2018-0038.xml","","","","","","","","","","","","","Mit dem Wandel der Leitmedien von der Buchform zur Zeitform ändert sich der Auftrag der Bibliothek oder lässt diesen zumindest deutlicher erscheinen: Sie hat ihre Rolle im kybernetischen Denken der Wissenszirkulation zu aktualisieren als Zeitkanal zwischen materieller Entropie und ordnungsbewahrender Negentropie. Zwar ist der Hypertext eine aktuelle Alternative zum raumbezogenen Gedächtnis und eröffnet neue Optionen der Wissensnavigation, doch angesichts der Zerstreuung in Netzarchitekturen bedarf es der Bibliothek, um dem Verlust der Nachhaltigkeit von Online-Wissen katechontisch (verzögernd) entgegenzuwirken.","","bibliotheken","",""
14,"","fhhdb08","Bibliothek), Wielkopolska Biblioteka Cyfrowa (Großpolnische Digitale","Wielkopolska Biblioteka Cyfrowa (Großpolnische Digitale Bibliothek)","",,,"","",2008,"","","http://www.wbc.poznan.pl/dlibra","","","","","","","","","","","","","","Die Seite des WBC erste Digitale Bibliothek Polens nach europäischen Standards. Schön ist, dass die Seite in mehreren Sprachen verfasst wurde.","fhhdb08","",""
10,"","eprints313808","Heller, Lambert","Bibliothek 2.0 - Perspektiven, Probleme, Handlungsbereiche","Erfolgreiches Management von Bibliotheken und Informationseinrichtungen",,,"","1--30",2008,"","","http://eprints.rclis.org/13808/","","","","","Umlauf, Konrad & Hobohm, Hans-Christoph","Verlag Dash\"ofer","","","","","","","Assumptions on the development prospects of library 2.0 are stated. According to these assumptions, the professionals working at the library are key components of a library 2.0. Following up to this thesis, principles and key problems of enhancing "librarians' 2.0" skills are discussed. The chapter concludes with an outline of some important and typical building blocks of a library 2.0. These are a) new ways to engage with users, b) bringing library services and data into the users' information space, c) enhancing the focus oflibraries' collection and classification activities with freely availabe informations on the web. All references and examples are reachable from the author's account at the social bookmarking service delicious under the tag embi08, cf. http://delicious.com/lambo/embi08.","Bibliothek 2.0 - Perspektiven, Probleme, Handlungsbereiche","bibliothek, Library2.0, information, web20","",""
10,"","eprints313808","","Bibliothek 2.0 - Perspektiven, Probleme, Handlungsbereiche","Erfolgreiches Management von Bibliotheken und Informationseinrichtungen",,,"","1--30",2008,"","","http://eprints.rclis.org/13808/","","","","","Umlauf, Konrad & Hobohm, Hans-Christoph","Verlag Dash\"ofer","","","","","","","Assumptions on the development prospects of library 2.0 are stated. According to these assumptions, the professionals working at the library are key components of a library 2.0. Following up to this thesis, principles and key problems of enhancing "librarians' 2.0" skills are discussed. The chapter concludes with an outline of some important and typical building blocks of a library 2.0. These are a) new ways to engage with users, b) bringing library services and data into the users' information space, c) enhancing the focus oflibraries' collection and classification activities with freely availabe informations on the web. All references and examples are reachable from the author's account at the social bookmarking service delicious under the tag embi08, cf. http://delicious.com/lambo/embi08.","Bibliothek 2.0 - Perspektiven, Probleme, Handlungsbereiche","bibliothek, web2.0","",""
7,"","danowski2006","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 - Die Zukunft der Bibliothek?","Bibliotheksdienst",,11,"","1256 - 1271",2006,"","","http://eprints.rclis.org/archive/00007618/01/Heller_Danowski_Bibliothek_2.pdf","","","","","","","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen anBibliothekare diskutiert.","","tagging, library2.0, social, bibliothek2.0, zukunft","",""
7,"","danowski_2007","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 -- Wird alles anders?","Bibliothek Forschung und Praxis",31,2,"","130-136",2007,"","","http://www.bibliothek-saur.de/2007_2/130-136.pdf","","","","","","","","","","","","","Die neue Remix Culture des Webs sollte von den Bibliothekaren erkannt und zum Bestandteil der eigenen Strategie gemacht werden. Die Informationskultur beginnt sich durch die Entwicklung des Webs radikal zu verändern, insbesondere durch die Kommunikation mittels leicht zugänglicher Massenartikel wie den Weblogs, die allmählich auch im Wissenschaftsbereich ankommen. Mit den Kernprinzipien des Web 2.0 wird benannt, welche Veränderungen der letzten Jahre heute praktisch zu berücksichtigen sind. Elemente der neuen Informationskultur können bereits in der Welt der Computer- und Onlinespiele beobachtet werden; diese Elemente sind und waren jedoch auch den Bibliotheken nie fremd (erkennbar im Bild der „Libraries as conversations“). Insbesondere der Bibliothekskatalog kann eine neuartige Bedeutung (u.a. als Werkzeug einer „bibliographischen Remix Culture“) durch seine Verwandlung in einen offenen, vernetzten „Katalog 2.0“ gewinnen. Im Mittelpunkt der Bibliothek 2.0 steht jedoch der vernetzte „Bibliothekar 2.0“, dessen Schlüsselressourcen sowohl der Austausch innerhalb seiner bibliothekarischen Community of Practice als auch die Interaktion mit den Bibliotheksbenutzern sind.","","science, library, bibliothekswesen, web2.0, MALIS09, bibliothek2.0","",""
7,"","danowski_2007","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 -- Wird alles anders?","Bibliothek Forschung und Praxis",31,2,"","130-136",2007,"","","http://www.bibliothek-saur.de/2007_2/130-136.pdf","","","","","","","","","","","","","Die neue Remix Culture des Webs sollte von den Bibliothekaren erkannt und zum Bestandteil der eigenen Strategie gemacht werden. Die Informationskultur beginnt sich durch die Entwicklung des Webs radikal zu verändern, insbesondere durch die Kommunikation mittels leicht zugänglicher Massenartikel wie den Weblogs, die allmählich auch im Wissenschaftsbereich ankommen. Mit den Kernprinzipien des Web 2.0 wird benannt, welche Veränderungen der letzten Jahre heute praktisch zu berücksichtigen sind. Elemente der neuen Informationskultur können bereits in der Welt der Computer- und Onlinespiele beobachtet werden; diese Elemente sind und waren jedoch auch den Bibliotheken nie fremd (erkennbar im Bild der „Libraries as conversations“). Insbesondere der Bibliothekskatalog kann eine neuartige Bedeutung (u.a. als Werkzeug einer „bibliographischen Remix Culture“) durch seine Verwandlung in einen offenen, vernetzten „Katalog 2.0“ gewinnen. Im Mittelpunkt der Bibliothek 2.0 steht jedoch der vernetzte „Bibliothekar 2.0“, dessen Schlüsselressourcen sowohl der Austausch innerhalb seiner bibliothekarischen Community of Practice als auch die Interaktion mit den Bibliotheksbenutzern sind.","","bibliothekswesen, bibliothek2.0","",""
7,"","danowski_2007","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 -- Wird alles anders?","Bibliothek Forschung und Praxis",31,2,"","130-136",2007,"","","http://www.bibliothek-saur.de/2007_2/130-136.pdf","","","","","","","","","","","","","Die neue Remix Culture des Webs sollte von den Bibliothekaren erkannt und zum Bestandteil der eigenen Strategie gemacht werden. Die Informationskultur beginnt sich durch die Entwicklung des Webs radikal zu verändern, insbesondere durch die Kommunikation mittels leicht zugänglicher Massenartikel wie den Weblogs, die allmählich auch im Wissenschaftsbereich ankommen. Mit den Kernprinzipien des Web 2.0 wird benannt, welche Veränderungen der letzten Jahre heute praktisch zu berücksichtigen sind. Elemente der neuen Informationskultur können bereits in der Welt der Computer- und Onlinespiele beobachtet werden; diese Elemente sind und waren jedoch auch den Bibliotheken nie fremd (erkennbar im Bild der „Libraries as conversations“). Insbesondere der Bibliothekskatalog kann eine neuartige Bedeutung (u.a. als Werkzeug einer „bibliographischen Remix Culture“) durch seine Verwandlung in einen offenen, vernetzten „Katalog 2.0“ gewinnen. Im Mittelpunkt der Bibliothek 2.0 steht jedoch der vernetzte „Bibliothekar 2.0“, dessen Schlüsselressourcen sowohl der Austausch innerhalb seiner bibliothekarischen Community of Practice als auch die Interaktion mit den Bibliotheksbenutzern sind.","","science, library, bibliothekswesen, web2.0, bibliothek2.0","",""
7,"","danowski2006","Danowski, Patrick & Heller, Lambert","Bibliothek 2.0 - Die Zukunft der Bibliothek?","Bibliotheksdienst",,11,"","1256 - 1271",2006,"","","http://eprints.rclis.org/archive/00007618/01/Heller_Danowski_Bibliothek_2.pdf","","","","","","","","","","","","","Der Artikel beschäftigt sich mit dem Konzept der Bibliothek 2.0 (bzw. Library 2.0). Er skizziert anhand einiger Beispiele die Entwicklung zum Web 2.0 und beschreibt, wie Web 2.0-Technologien und -Anwendungen in Bibliotheken eingesetzt werden. Im Mittelpunkt stehen Social-Tagging-Systeme, benutzerorientierte Erweiterungen von Bibliothekskatalogen und Dokumentenservern sowie der Einsatz von Weblogs an Bibliotheken. Ferner werden neue Anforderungen anBibliothekare diskutiert.","","library_2.0","",""
7,"","KulturBetrieb.2018","Interessengemeinschaft für Austausch und Kooperation, _","Netzwerk „Grüne Bibliothek“ gegründet","KulturBetrieb",,1,"","48",2018,"","","http://www.kulturbetrieb-magazin.de/fileadmin/user_upload/kulturbetrieb-magazin/magazin/KulturBetrieb-2018-Ausgabe-1-April.pdf","","","","","SchmittART","","","","","","","","Netzwerk Grüne Bibliothek","","greenbib","",""
1,"","manguel_bibliothek_2007","Manguel, Alberto","Die Bibliothek bei Nacht","",,,"","",2007,"","","","","","","","","S. Fischer","","","","","","","Tagsüber herrscht in der Bibliothek Vernunft und Ordnung, doch nachts wandelt sie sich in ein Reich der Träume und Erinnerung. Die Bücherwände enthalten alle Geschichten und Gedanken, die in uns leben. Jedes Buch, das Alberto Manguel in die Hand nimmt, erzählt ihm von einer anderen Bibliothek, von verbotenen Archiven und geheimen Kammern, von labyrinthischen Gängen Babels und den gro ssen Bibliotheken der Menschheit. Und jedes Regal ist ein Fenster auf die Bibliothek von Alexandria.","","bibliotheken","",""
7,"","danowski2006bzb","DANOWSKI, Patrick & HELLER, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259--1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","","BibSonomy::bibtex::{Bibliothek 2. 0: Die Zukunft der Bibliothek?}","bibliothek2.0","",""
7,"","danowski2006bzb","DANOWSKI, Patrick & HELLER, Lambert","Bibliothek 2. 0: Die Zukunft der Bibliothek?","Bibliotheksdienst",40,11,"","1259--1271",2006,"","","http://www.zlb.de/aktivitaeten/bd_neu/heftinhalte2006/DigitaleBib011106.pdf","","","","","","Deutsches Bibliotheksinstitut","","","","","","","","BibSonomy::bibtex::{Bibliothek 2. 0: Die Zukunft der Bibliothek?}","bibliothek2.0","",""
1,"978-3-934997-22-6","Mode2008","?","Moderne Bibliothek","",,,"","",2008,"Wiesbaden","","","","","","","","Dinges & Frick","","","","","","","","KUG Recherche-Portal","imported, bibliothek, service","",""
10,"3593378205","Bibliothek.2005","Bibliothek, Handelsblatt Management","Handelsblatt Management Bibliothek. Bd. 5: Die erfolgreichsten Unternehmer, L-Z","",,0,"","",2005,"","","","","","1","","","Campus Verlag","","","","","","","","","Condition, Gr{\"o}se, AAS,, F{\"u}hrung, Gebundene, {\&}, (condition-type),, Ausgabe,, Normale, General, Wirtschaft,, {\"U}berblick,, Nachschlagewerke,, Personalmanagement,","",""
8,"","stalmann2010grobkonzept","Stalmann, Kai & Budde., Reinhard","Grobkonzept Deutsche Digitale Bibliothek","",,,"","",2010,"","","http://www.iais.fraunhofer.de/uploads/media/DDBGrobkonzeptFinal.pdf","","","","","Plattform., Fraunhofer IAIS Cortex","","","","","","","","Die Fraunhofer IAIS Cortex Plattform bildet die technische Grundlage der Deutschen Digitalen Bibliothek (DDB).sowie einige Dokumente aus dem Kontext des DDB Projekts (Grobkonzept).Sie finden hier einige erste und noch vorläufige Informationen zu IAIS Cortex","","IAIS, Deutsche_Digitale_Bibliothek","",""
7,"","drees2016mining","Drees, Bastian","Text und Data Mining: Herausforderungen und Möglichkeiten für Bibliotheken","Perspektive Bibliothek",5,1,"","49-73",2016,"","","http://journals.ub.uni-heidelberg.de/index.php/bibliothek/article/view/33691","","","","","","","","","","","","","","Text und Data Mining: Herausforderungen und Möglichkeiten für Bibliotheken | Drees | Perspektive Bibliothek","bibliothek, data-mining","",""
