BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
1,"3518223720","Wittgenstein1953","Wittgenstein, Ludwig","Philosophische Untersuchungen - Auf Grundlage der Kritisch-genetischen Edition, neu herausgegeben von Joachim Schulte, 2003","",1372,,"September","",1953,"Frankfurt a. M.","","http://www.amazon.fr/exec/obidos/redirect?tag=citeulike06-21{\&}path=ASIN/3518223720","","","","Bibliothek Suhrkamp","","Suhrkamp","","","","","","","","","wsd, semantics","",""
1,"3--15--007853--9","Leibniz.1998","Leibniz, Gottfried Wilhelm","Monadologie:  franz\"osisch--deutsch, \"ubersetzt und","",7853,,"","",1998,"Stuttgart","","","","","","Universal--Bibliothek","","Reclam","","","","","","","","import","Monade, Leibniz, Metaphysik, 17.-Jahrhundert, Rationalit{\"a}t, 18.-Jahrhundert, Philosophie","",""
1,"978-3-7639-4000-4","GVK579171418","Heckmann, {Markus}","Erfolgschancen neu gegründeter Betriebe","",,313,"","",2009,"Bielefeld","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+579171418&sourceid=fbw_bibsonomy","","","","IAB-Bibliothek","","Bertelsmann","","","","","","","","","gegründeter, Betriebe, erfolgschancen, neu","",""
1,"978-3-7639-4000-4","GVK579171418","Heckmann, {Markus}","Erfolgschancen neu gegründeter Betriebe","",,313,"","",2009,"Bielefeld","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+579171418&sourceid=fbw_bibsonomy","","","","IAB-Bibliothek","Heckmann","Bertelsmann","","","","","","","","","Unternehmensgründung, Erfolgsfaktoren, Erfolgschancen","",""
1,"3787313117","Schelling.1997","Schelling, Friedrich Wilhelm Joseph von & Buchheim, Thomas","Philosophische Untersuchungen \"uber das Wesen der menschlichen Freiheit und die damit zusammenh\"angenden Gegenst\"ande","",503,,"","",1997,"Hamburg","","","","","","Philosophische Bibliothek","","Meiner","","","","","","","","","imported","",""
1,"","Below.1923","Below, Georg von","Territorium und Stadt: Aufs\"atze zur deutschen Verfassungs- Verwaltungs- und Wirtschaftsgeschichte","",,,"","",1923,"M{\"u}nchen","","","","","2., wesentl. veraend. Aufl.","Historische Bibliothek","","Oldenbourg","","","","","","","","","AOM1964","",""
1,"9783534200757","Cech.2010","Cech, Brigitte","Technik in der Antike","",,,"","",2010,"Darmstadt","","","","","","Historische Bibliothek","","Wissenschaftliche Buchgesellschaft","","","","","","","","","Landwirtschaft, Straßenbau, Schiffbau, Wassertechnik, Brückenbau, Eupalinos, Tunnelbau, Kriegstechnik, Architektur, Laurion, Technik, Bergbau, Messtechnik, Zeitmessung","",""
1,"3150088348","Konig.1992","König, Ingemar","Der römische Staat, Teil 1: Die Republik","",8834,,"","",1992,"Stuttgart","","","","","","Universal-Bibliothek","","Reclam","","","","","","","","","Römisches_Reich, Republik, Verfassung, Geschichte","",""
1,"","Hobbes:1997_0","Hobbes, Thomas","Elemente der Philosophie I: Der K\"orper","",,501,"","",1997 (EA 1655),"Hamburg","","","","","","Philosophische Bibliothek","Schuhmann, Karl","Felix Meiner","","","","","","","","","imported","",""
1,"9783763940776","Fuchs2013","Fuchs, Philipp","Der Beschäftigungszuschuss. Quantitative und qualitative Analysen der Erwerbsverläufe von Geförderten in NRW","",,345,"","",2013,"Bielefeld","Zugleich Dissertation, Dr. phil., Fachbereich Gesellschaftswissenschaften der Universität Duisburg-Essen, Erstgutachter: Hanns-Georg Brose, Zweitgutachter: Matthias Knuth","","","","","IAB-Bibliothek","","W. Bertelsmann Verlag","","","","","","","","","Langzeitarbeitslose,Arbeitslosigkeit,Arbeitsmarktforschung,Beschäftigungsförderung,Beschäftigungszuschuss","",""
1,"340732085X","klafki2007studien","Klafki, Wolfgang","Neue Studien zur Bildungstheorie und Didaktik : zeitgemäße Allgemeinbildung und kritisch-konstruktive Didaktik","",,,"","",2007,"Weinheim [u.a.]","","http://scans.hebis.de/HEBCGI/show.pl?19456880_toc.pdf","","","6., neu ausgestattete Aufl.","Beltz-Bibliothek","","Beltz","","","","","","","","","klafki, PdNM, medpaeddokuwiki","",""
